wordleID	guesses	percent
248	1	1%
248	2	14%
248	3	38%
248	4	30%
248	5	12%
248	6	4%
248	X	0%
247	1	1%
247	2	9%
247	3	26%
247	4	30%
247	5	21%
247	6	10%
247	X	2%
246	1	1%
246	2	4%
246	3	21%
246	4	32%
246	5	26%
246	6	14%
246	X	3%
245	1	1%
245	2	1%
245	3	8%
245	4	19%
245	5	31%
245	6	30%
245	X	10%
244	1	1%
244	2	3%
244	3	15%
244	4	29%
244	5	27%
244	6	19%
244	X	7%
243	1	1%
243	2	6%
243	3	16%
243	4	23%
243	5	24%
243	6	21%
243	X	9%
242	1	1%
242	2	4%
242	3	20%
242	4	31%
242	5	26%
242	6	15%
242	X	3%
241	1	1%
241	2	6%
241	3	25%
241	4	33%
241	5	22%
241	6	11%
241	X	2%
240	1	1%
240	2	2%
240	3	11%
240	4	33%
240	5	34%
240	6	17%
240	X	3%
239	1	1%
239	2	6%
239	3	29%
239	4	34%
239	5	21%
239	6	8%
239	X	1%
238	1	1%
238	2	7%
238	3	23%
238	4	34%
238	5	24%
238	6	10%
238	X	1%
237	1	1%
237	2	4%
237	3	18%
237	4	30%
237	5	28%
237	6	16%
237	X	3%
236	1	1%
236	2	8%
236	3	26%
236	4	32%
236	5	21%
236	6	10%
236	X	2%
235	1	1%
235	2	5%
235	3	22%
235	4	34%
235	5	25%
235	6	11%
235	X	2%
234	1	1%
234	2	10%
234	3	20%
234	4	24%
234	5	24%
234	6	17%
234	X	3%
233	1	1%
233	2	3%
233	3	13%
233	4	24%
233	5	30%
233	6	24%
233	X	5%
232	1	1%
232	2	3%
232	3	17%
232	4	33%
232	5	27%
232	6	16%
232	X	3%
231	1	1%
231	2	4%
231	3	22%
231	4	36%
231	5	25%
231	6	11%
231	X	2%
230	1	1%
230	2	10%
230	3	28%
230	4	31%
230	5	19%
230	6	9%
230	X	2%
229	1	1%
229	2	7%
229	3	22%
229	4	28%
229	5	25%
229	6	14%
229	X	4%
228	1	3%
228	2	13%
228	3	32%
228	4	29%
228	5	16%
228	6	7%
228	X	1%
227	1	1%
227	2	13%
227	3	34%
227	4	30%
227	5	15%
227	6	6%
227	X	1%
226	1	1%
226	2	10%
226	3	25%
226	4	27%
226	5	19%
226	6	12%
226	X	5%
225	1	0%
225	2	2%
225	3	18%
225	4	39%
225	5	27%
225	6	12%
225	X	2%
224	1	1%
224	2	7%
224	3	29%
224	4	35%
224	5	20%
224	6	8%
224	X	1%
223	1	1%
223	2	4%
223	3	17%
223	4	30%
223	5	27%
223	6	17%
223	X	4%
222	1	1%
222	2	9%
222	3	29%
222	4	33%
222	5	19%
222	6	7%
222	X	1%
221	1	1%
221	2	4%
221	3	22%
221	4	37%
221	5	24%
221	6	10%
221	X	2%
220	1	1%
220	2	6%
220	3	25%
220	4	34%
220	5	23%
220	6	9%
220	X	1%
219	1	1%
219	2	1%
219	3	11%
219	4	29%
219	5	33%
219	6	21%
219	X	4%
218	1	1%
218	2	5%
218	3	28%
218	4	38%
218	5	20%
218	6	7%
218	X	1%
217	1	1%
217	2	3%
217	3	17%
217	4	33%
217	5	29%
217	6	15%
217	X	3%
216	1	1%
216	2	8%
216	3	30%
216	4	33%
216	5	19%
216	6	7%
216	X	1%
215	1	1%
215	2	8%
215	3	29%
215	4	34%
215	5	20%
215	6	8%
215	X	1%
214	1	1%
214	2	16%
214	3	37%
214	4	28%
214	5	12%
214	6	4%
214	X	1%
213	1	1%
213	2	2%
213	3	11%
213	4	24%
213	5	31%
213	6	26%
213	X	6%
212	1	1%
212	2	8%
212	3	32%
212	4	32%
212	5	18%
212	6	8%
212	X	2%
211	1	1%
211	2	9%
211	3	32%
211	4	32%
211	5	18%
211	6	7%
211	X	1%
210	1	1%
210	2	9%
210	3	35%
210	4	34%
210	5	16%
210	6	5%
210	X	1%
209	1	1%
209	2	4%
209	3	21%
209	4	30%
209	5	24%
209	6	15%
209	X	5%
208	1	1%
208	2	2%
208	3	13%
208	4	29%
208	5	31%
208	6	20%
208	X	3%
207	1	1%
207	2	4%
207	3	15%
207	4	26%
207	5	29%
207	6	21%
207	X	4%
206	1	1%
206	2	9%
206	3	35%
206	4	34%
206	5	16%
206	6	5%
206	X	1%
205	1	1%
205	2	4%
205	3	16%
205	4	30%
205	5	30%
205	6	17%
205	X	2%
204	1	1%
204	2	3%
204	3	13%
204	4	27%
204	5	30%
204	6	22%
204	X	4%
203	1	1%
203	2	5%
203	3	23%
203	4	31%
203	5	24%
203	6	14%
203	X	2%
202	1	1%
202	2	3%
202	3	23%
202	4	39%
202	5	24%
202	6	9%
202	X	1%
